Date of Contract;Municipality Name;Zone Name;Real Estate Type;Area in Square Meters;Price per Square Foot;Real Estate Value
2025-01-16;Al Daayen;Lusail 69;Residential Unit;115;1153.4;1440024
2025-01-16;Umm Slal;Izghawa 71;Vacant Land;900;361;3500000
2025-01-16;Al Khor and Al Dakhira;Al Khor;Residence;1176;154;1950000
2025-01-16;Doha;Dahl Al Hamam;Vacant Land;956;389;4000000
2025-01-16;Doha;Old Airport;Residence;983;548;5800000
2025-01-16;Doha;Fereej Bin Omran;Vacant Land;1360;512;7500000
2025-01-16;Al Wakrah;Al Wukair;Residence;746;311;2500000
2025-01-16;Al Daayen;Lusail 69;Residential Unit;79;1199.73;1032200
2025-01-16;Doha;The Pearl Island;Residential Unit;124;1192.02;1600000
2025-01-16;Doha;The Pearl Island;Residential Unit;62;1487.88;1000000
2025-01-16;Doha;The Pearl Island;Residential Unit;118;2539.68;3236688
2025-01-16;Al Daayen;Lusail 69;Residential Unit;158;1120.37;1915424
2025-01-16;Doha;The Pearl Island;Residential Unit;144;929.35;1450000
2025-01-16;Doha;The Pearl Island;Residential Unit;191;997.34;2060000
2025-01-16;Al Daayen;Lusail 69;Residential Unit;85;1181.67;1081407
2025-01-16;Doha;The Pearl Island;Residential Unit;139;1129.88;1700000
2025-01-16;Doha;The Pearl Island;Residential Unit;74;1565.29;1250000
2025-01-16;Umm Slal;Al Kharaitiyat;Residence;444;314;1500000
2025-01-16;Doha;Jeryan Najima;Residence;1225;326;4300000
2025-01-16;Doha;Old Airport;Residential Building;357;1171;4500000
2025-01-16;Al Rayyan;Al Aziziya;Vacant Land;659;340;2411841
2025-01-16;Al Rayyan;Gharrafat Al Rayyan;Residence;600;666;4300000
2025-01-16;Al Daayen;Umm Qarn;Residence;499;605;3250000
2025-01-16;Al Daayen;Lusail 69;Residential Unit;116;1101.14;1377384
2025-01-16;Doha;The Pearl Island;Residential Unit;87;1114.46;1052400
2025-01-16;Al Daayen;Ghar Thaileb;Residential Unit;85;1407.29;1300000
2025-01-16;Doha;The Pearl Island;Residential Unit;175;1503.68;2843463
2025-01-15;Umm Slal;Umm Slal Ali;Vacant Land;581;238;1490000
2025-01-15;Al Khor and Al Dakhira;Al Khor;Vacant Land;370;245;975000
2025-01-15;Doha;Madinat Khalifa South;Residential Building;211;1321;3000000
2025-01-15;Doha;Al Maamoura 43;Residence;481;364;1886861
2025-01-15;Doha;Al Maamoura 43;Residence;322;364;1263138
2025-01-15;Doha;Fereej Kulaib;Residence;900;723;7000000
2025-01-15;Doha;Old Airport;Residence;608;405;2650000
2025-01-15;Al Rayyan;Gharrafat Al Rayyan;Residence;438;615;2900000
2025-01-15;Al Wakrah;Al Mashaf;Residence;527;353;2000000
2025-01-15;Al Wakrah;Al Wakrah;Residence;896;415;4000000
2025-01-15;Al Wakrah;Al Wakrah;Vacant Land;440;250;1184071
2025-01-15;Doha;The Pearl Island;Residential Unit;86;1388.37;1300000
2025-01-15;Doha;The Pearl Island;Residential Unit;73;1267.09;1000000
2025-01-15;Doha;The Pearl Island;Residential Unit;59;1871.16;1200000
2025-01-15;Doha;The Pearl Island;Residential Unit;59;1556.16;1000000
2025-01-15;Al Khor and Al Dakhira;Al Khor;Residence;540;301;1750000
2025-01-15;Doha;Legtaifiya;Vacant Land;1579;741;12600000
2025-01-15;Doha;Najma;Residence;249;746;2000000
2025-01-15;Doha;Umm Lekhba;Residential Building;549;1421;8400000
2025-01-15;Al Rayyan;Bu Hamour;Residence;400;534;2300000
2025-01-15;Al Rayyan;Bu Sidra;Residence;881;234;2222222
2025-01-15;Al Wakrah;Al Wukair;Vacant Land;500;271;1460000
2025-01-15;Doha;The Pearl Island;Residential Unit;59;1550.45;1000000
2025-01-15;Doha;The Pearl Island;Residential Unit;175;1061.74;2009917
2025-01-15;Doha;The Pearl Island;Residential Unit;74;1379.69;1100000
2025-01-15;Umm Slal;Umm Al Amad;Vacant Land;602;247;1600000
2025-01-15;Umm Slal;Umm Ebairiya;Residence;445;543;2600000
2025-01-15;Doha;New Slata;Residence;450;351;1700000
2025-01-15;Al Daayen;Al Sakhama;Residence;589;528;3350000
2025-01-15;Al Daayen;Al Sakhama;Residence;600;579;3740000
2025-01-15;Doha;The Pearl Island;Residential Unit;132;996.59;1418026
2025-01-15;Doha;The Pearl Island;Residential Unit;124;1259.27;1690000
2025-01-15;Doha;The Pearl Island;Residential Unit;137;964.58;1430000
2025-01-15;Doha;The Pearl Island;Residential Unit;166;978.34;1750000
2025-01-15;Doha;The Pearl Island;Residential Unit;124;1229.47;1650000
2025-01-14;Umm Slal;Al Kharaitiyat;Residence;450;519;2514000
2025-01-14;Al Daayen;Al Kheesa;Residence;507;521;2844000
2025-01-14;Al Wakrah;Al Wukair;Vacant Land;707;223;1700000
2025-01-14;Doha;The Pearl Island;Residential Unit;172;1333.92;2478804
2025-01-14;Doha;The Pearl Island;Residential Unit;124;1352.41;1815000
2025-01-14;Doha;The Pearl Island;Residential Unit;87;1376.66;1300000
2025-01-14;Umm Slal;Umm Slal Ali;Residence;610;594;3900000
2025-01-14;Doha;Madinat Khalifa South;Residence;592;438;2792700
2025-01-14;Al Wakrah;Al Wakrah;Vacant Land;728;250;1959882
2025-01-14;Doha;The Pearl Island;Residential Unit;59;1556.16;1000000
2025-01-14;Doha;The Pearl Island;Residential Unit;112;1276.71;1550000
2025-01-14;Doha;The Pearl Island;Residential Unit;74;1690.51;1350000
2025-01-14;Doha;The Pearl Island;Residential Unit;129;1048.09;1457120
2025-01-14;Doha;The Pearl Island;Residential Unit;86;1420.41;1330000
2025-01-14;Al Daayen;Ghar Thaileb;Residential Unit;94;1185.87;1200000
2025-01-14;Doha;The Pearl Island;Residential Unit;59;1485.57;950000
2025-01-14;Doha;Old Airport;Residence;180;439;850000
2025-01-14;Al Rayyan;Al Aziziya;Residence;283;369;1125000
2025-01-14;Al Shamal;Al Ruwais;Vacant Land;424;142;650000
2025-01-14;Al Wakrah;Al Wakrah;Vacant Land;1155;250;3108186
2025-01-14;Doha;The Pearl Island;Residential Unit;157;1472.51;2493364
2025-01-14;Doha;The Pearl Island;Residential Unit;59;1522.62;975000
2025-01-14;Al Daayen;Lusail 69;Residential Unit;72;1179.64;916760
2025-01-13;Al Khor and Al Dakhira;Al Khor;Residence;525;265;1500000
2025-01-13;Al Khor and Al Dakhira;Al Khor;Residence;628;296;2000000
2025-01-13;Doha;Legtaifiya;Vacant Land;3201;586;20200000
2025-01-13;Doha;Al Thumama 47;Vacant Land;644;368;2550000
2025-01-13;Doha;Najma;Residence;137;997;1469950
2025-01-13;Doha;Rawdat Al Khail;Residence;319;764;2623050
2025-01-13;Doha;Al Thumama 46;Residence;450;751;3640000
2025-01-13;Doha;Old Al Ghanim 16;Residential Building;933;1047;10517065
2025-01-13;Doha;New Slata;Residence;462;450;2237891
2025-01-13;Al Rayyan;Al Maamoura 56;Residence;438;488;2300000
2025-01-13;Al Rayyan;Al Maamoura 56;Residence;484;432;2250000
2025-01-13;Al Rayyan;Izghawa 51;Vacant Land;560;330;1989000
2025-01-13;Al Sheehaniya;Lijmiliya;Residence;1411;142;2150000
2025-01-13;Al Daayen;Umm Qarn;Residence;432;527;2450000
2025-01-13;Al Rayyan;Al Maamoura 56;Residence;509;411;2250000
2025-01-13;Umm Slal;Al Kharaitiyat;Residence;350;664;2500000
2025-01-13;Umm Slal;Umm Ebairiya;Vacant Land;1488;240;3850000
2025-01-13;Doha;Old Al Ghanim 16;Shops;536;1927;11119374
2025-01-13;Doha;Fereej Al Asmakh;Shops;531;2516;14379408
2025-01-13;Doha;New Slata;Residence;444;617;2949900
2025-01-13;Al Rayyan;Al Waab;Vacant Land;1837;930;18389326
2025-01-13;Al Sheehaniya;Lijmiliya;Vacant Land;445;115;550000
2025-01-13;Al Daayen;Al Kheesa;Vacant Land;600;378;2440000
2025-01-13;Al Wakrah;Al Wakrah;Residence;901;551;5340000
2025-01-13;Doha;The Pearl Island;Residential Unit;79;1328.27;1133352
2025-01-13;Al Daayen;Lusail 69;Residential Unit;79;1090.12;930733
2025-01-12;Umm Slal;Umm Slal Ali;Vacant Land;868;268;2500000
2025-01-12;Doha;Nuaija 44;Residence;525;557;3150000
2025-01-12;Al Rayyan;Bu Hamour;Residence;1010;294;3200000
2025-01-12;Al Daayen;Umm Qarn;Residence;400;232;1000000
2025-01-12;Doha;Fereej Bin Omran;Residence;178;705;1350000
2025-01-12;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;592;314;2000000
2025-01-12;Al Daayen;Umm Qarn;Residence;400;442;1904068
2025-01-12;Al Daayen;Umm Qarn;Vacant Land;653;270;1900000
2025-01-12;Al Daayen;Simaisma;Residence;450;482;2336730
2025-01-12;Al Daayen;Al Sakhama;Vacant Land;540;345;2004600
2025-01-12;Al Daayen;Lusail 69;Residential Unit;116;919.36;1150000
2025-01-12;Doha;Onaiza 65;Residence;1225;356;4700000
2025-01-12;Doha;Duhail;Residence;1225;455;6000000
2025-01-12;Doha;New Al Hitmi;Vacant Land;464;400;2000000
2025-01-12;Al Rayyan;Al Gharrafa;Vacant Land;6811;205;15000000
2025-01-12;Al Daayen;Al Sakhama;Residence;600;526;3400000
2025-01-12;Al Daayen;Umm Qarn;Residence;371;632;2525000
2025-01-12;Al Daayen;Umm Qarn;Vacant Land;478;321;1650000
2025-01-09;Doha;Nuaija 44;Vacant Land;540;440;2557000
2025-01-09;Doha;Old Airport;Vacant Land;608;382;2500000
2025-01-09;Al Shamal;Al Ruwais;Vacant Land;588;150;950000
2025-01-09;Al Wakrah;Al Wukair;Vacant Land;526;353;2000000
2025-01-09;Doha;The Pearl Island;Residential Unit;138;1270.99;1900000
2025-01-09;Doha;Ghar Thaileb;Residential Unit;130;1107.59;1560000
2025-01-09;Doha;The Pearl Island;Residential Unit;424;1621.27;7400000
2025-01-09;Al Rayyan;New Al Rayyan;Residence;966;240;2500000
2025-01-09;Doha;Ghar Thaileb;Residential Unit;158;998.96;1700000
2025-01-09;Doha;Ghar Thaileb;Residential Unit;158;1013.65;1725000
2025-01-09;Doha;Ghar Thaileb;Residential Unit;95;1132.59;1169000
2025-01-09;Doha;Ghar Thaileb;Residential Unit;101;1158.78;1270000
2025-01-09;Doha;Rawdat Al Khail;Residential Building;629;1241;8400000
2025-01-09;Doha;Al Thumama 47;Residence;633;484;3300000
2025-01-09;Doha;Rawdat Al Khail;Residence;614;847;5600000
2025-01-09;Doha;Fereej Bin Omran;Residence;207;359;800000
2025-01-09;Doha;Al Sadd 38;Residential Building;1009;1215;13200000
2025-01-09;Al Wakrah;Al Wukair;Residence;450;723;3500000
2025-01-09;Al Wakrah;Al Wakrah;Residential Building;1101;1187;14066800
2025-01-09;Doha;Ghar Thaileb;Residential Unit;95;1219.66;1251000
2025-01-08;Doha;Fereej Bin Mahmoud 23;Residence;430;756;3500000
2025-01-08;Doha;Nuaija 44;Vacant Land;450;384;1860000
2025-01-08;Al Rayyan;Gharrafat Al Rayyan;Vacant Land;826;276;2453000
2025-01-08;Al Rayyan;Muaither 55;Residence;669;521;3750000
2025-01-08;Al Daayen;Rawdat Al Hamama;Vacant Land;1136;330;4035000
2025-01-08;Al Daayen;Lusail 69;Residence;1033;854;9500000
2025-01-08;Doha;Ghar Thaileb;Residential Unit;130;1121.79;1580000
2025-01-08;Al Daayen;Lusail 69;Residential Unit;107;1113.92;1288585
2025-01-08;Umm Slal;Umm Slal Ali;Residence;416;447;2000000
2025-01-08;Doha;Fereej Abdel Aziz;Residence;84;1023;925000
2025-01-08;Doha;Ghar Thaileb;Residential Unit;183;1049.61;2077000
2025-01-08;Doha;Ghar Thaileb;Residential Unit;158;980.38;1668380
2025-01-08;Doha;The Pearl Island;Residential Unit;425;1637.38;7500000
2025-01-08;Doha;Al Thumama 50;Residence;450;692;3350000
2025-01-08;Doha;Al Sadd 39;Residence;683;966;7100000
2025-01-08;Doha;Old Airport;Residence;359;763;2950000
2025-01-08;Al Daayen;Jeryan Jenaihat;Residence;650;715;5000000
2025-01-08;Al Daayen;Lusail 69;Residential Unit;125;739.61;1000000
2025-01-07;Umm Slal;Umm Slal Muhammed;Vacant Land;591;300;1908000
2025-01-07;Umm Slal;Umm Al Amad;Residence;541;446;2600000
2025-01-07;Doha;Onaiza 66;Residence;888;352;3364485
2025-01-07;Doha;Nuaija 44;Residence;450;516;2500000
2025-01-07;Al Rayyan;Izghawa 51;Vacant Land;560;380;2290579
2025-01-07;Al Daayen;Umm Qarn;Vacant Land;400;348;1500000
2025-01-07;Al Daayen;Al Sakhama;Vacant Land;10450;206;23200000
2025-01-07;Al Wakrah;Al Wukair;Vacant Land;450;270;1307000
2025-01-07;Doha;Al Dafna 60;Residential Unit;153;1440;2380645
2025-01-07;Al Khor and Al Dakhira;Al Khor;Vacant Land;525;248;1400000
2025-01-07;Doha;Nuaija 44;Residence;1734;400;7465910
2025-01-07;Doha;Hazm Al Markhiya;Residence;884;354;3364485
2025-01-07;Al Rayyan;Izghawa 51;Vacant Land;560;380;2290580
2025-01-07;Al Daayen;Ghar Thaileb;Residential Unit;94;2488.61;2518260
2025-01-07;Doha;The Pearl Island;Residential Unit;60;1388.45;900000
2025-01-07;Al Daayen;Ghar Thaileb;Residential Unit;85;2268.23;2095300
2025-01-07;Doha;Umm Lekhba;Vacant Land;1400;430;6480000
2025-01-07;Al Rayyan;Muaither 53;Residence;381;293;1200000
2025-01-07;Al Wakrah;Al Wukair;Residence;746;560;4500000
2025-01-07;Al Wakrah;Al Wukair;Vacant Land;759;230;1879000
2025-01-07;Al Daayen;Lusail 69;Residential Unit;138;738.44;1100000
2025-01-06;Al Khor and Al Dakhira;Al Khor;Vacant Land;475;252;1290000
2025-01-06;Al Khor and Al Dakhira;Al Khor;Residence;451;307;1490000
2025-01-06;Doha;Umm Lekhba;Residence;1842;431;8550000
2025-01-06;Al Rayyan;Muaither 55;Vacant Land;636;205;1400000
2025-01-06;Al Rayyan;Ain Khalid;Residence;5340;313;18018000
2025-01-06;Al Rayyan;Al Thumaid;Vacant Land;999;310;3333000
2025-01-06;Al Daayen;Lusail 69;Residential Unit;115;1178.93;1462515
2025-01-06;Umm Slal;Bu Faseela;Residence;427;439;2020000
2025-01-06;Al Khor and Al Dakhira;Al Khor;Residence;490;379;2000000
2025-01-06;Al Rayyan;Bu Hamour;Residence;450;495;2400000
2025-01-06;Al Daayen;Umm Qarn;Residence;374;435;1750000
2025-01-06;Al Wakrah;Al Wakrah;Vacant Land;523;329;1850000
2025-01-06;Al Khor and Al Dakhira;Al Khor;Vacant Land;484;248;1290000
2025-01-06;Al Khor and Al Dakhira;Al Khor;Vacant Land;494;250;1329354
2025-01-06;Al Khor and Al Dakhira;Al Khor;Vacant Land;413;255;1133000
2025-01-06;Doha;Old Al Ghanim 16;Shops;507;1200;6548818
2025-01-06;Al Daayen;Al Ebb;Residence;560;442;2664000
2025-01-06;Al Wakrah;Al Wakrah;Vacant Land;1042;446;5000000
2025-01-05;Al Khor and Al Dakhira;Al Khor;Vacant Land;505;255;1386134
2025-01-05;Al Khor and Al Dakhira;Al Khor;Vacant Land;489;250;1315899
2025-01-05;Doha;Umm Ghuwailina;Residential Building;723;584;4545000
2025-01-05;Al Rayyan;Muaither 55;Residence;440;475;2250000
2025-01-05;Al Rayyan;Muaither 53;Building and Shops;749;1612;13000000
2025-01-05;Umm Slal;Umm Slal Ali;Residence;2000;196;4223000
2025-01-05;Al Khor and Al Dakhira;Al Khor;Vacant Land;474;255;1301044
2025-01-05;Doha;Fereej Bin Omran;Residential Building;170;981;1795000
2025-01-05;Doha;Nuaija 44;Vacant Land;2821;400;12146000
2025-01-05;Al Wakrah;Al Wakrah;Residence;267;383;1100000
2025-01-05;Al Khor and Al Dakhira;Al Khor;Vacant Land;486;250;1307826
2025-01-05;Doha;Al Sadd 38;Residential Building;496;1311;7000000
2025-01-05;Doha;Onaiza 66;Residence;883;342;3250000
2025-01-05;Al Wakrah;Al Wakrah;Residence;548;526;3100000
2025-01-05;Al Daayen;Lusail 69;Residential Unit;41;1191.52;532000
2025-01-02;Al Daayen;Al Ebb;Residence;600;681;4400000
2025-01-02;Umm Slal;Umm Slal Ali;Residence;1175;190;2400000
2025-01-02;Doha;Al Mansoura;Residence;687;723;5350000
2025-01-02;Doha;Madinat Khalifa South;Shops;594;978;6250000
2025-01-02;Doha;Madinat Khalifa North;Residence;753;771;6250000
2025-01-02;Doha;Madinat Khalifa South;Shops;477;1217;6250000
2025-01-02;Doha;Madinat Khalifa South;Shops;610;952;6250000
2025-01-01;Doha;Al Thumama 50;Residence;450;681;3300000
2025-01-01;Doha;The Pearl Island;Residential Unit;143;971.18;1500000
2025-01-01;Al Daayen;Ghar Thaileb;Residential Unit;97;1238.96;1300000
2025-01-01;Doha;Legtaifiya;Residential Unit;77;1369.76;1140000
2025-01-01;Doha;Madinat Khalifa South;Residence;454;307;1500000
2025-01-01;Al Wakrah;Al Wukair;Residence;450;506;2450000
2024-12-31;Al Shamal;Aba Al Dalouf;Vacant Land;729;159;1250000
2024-12-31;Al Shamal;Aba Al Dalouf;Vacant Land;1126;165;2000000
2024-12-31;Doha;Hazm Al Markhiya;Residence;1225;278;3660000
2024-12-31;Al Rayyan;Ain Khalid;Residence;602;494;3200000
2024-12-31;Al Daayen;Al Sakhama;Vacant Land;625;275;1850000
2024-12-31;Doha;Legtaifiya;Residence;1225;516;6800000
2024-12-31;Al Rayyan;Bu Sidra;Residence;480;510;2636000
2024-12-31;Doha;The Pearl Island;Residential Unit;70;1428.47;1090000
2024-12-30;Umm Slal;Umm Slal Ali;Apartment Complex;15027;309;50000000
2024-12-30;Doha;Rawdat Al Khail;Residence;1225;550;7252417
2024-12-30;Doha;Najma;Residential Building;417;1782;8000000
2024-12-30;Doha;Umm Ghuwailina;Residence;291;670;2100000
2024-12-30;Al Rayyan;Muaither   55;Residence;536;607;3500000
2024-12-30;Al Daayen;Jeryan Jenaihat;Vacant Land;481;380;1967443
2024-12-30;Al Daayen;Lusail 69;Residential Unit;99;744.19;800000
2024-12-30;Umm Slal;Umm Ebairiya;Residential Unit;354;393.58;1500000
2024-12-30;Al Khor and Al Dakhira;Al Khor;Vacant Land;600;217;1400000
2024-12-30;Doha;Nuaija 44;Residence;588;442;2800000
2024-12-30;Al Rayyan;Al Gharrafa;Residence;4855;265;13843585
2024-12-30;Al Rayyan;Muraikh;Residence;1410;323;4900000
2024-12-30;Doha;Madinat Khalifa North;Residence;797;326;2800000
2024-12-30;Al Wakrah;Al Wakrah;Residence;1187;266;3400000
2024-12-30;Umm Slal;Umm Ebairiya;Residential Unit;352;394.95;1500000
2024-12-29;Umm Slal;Umm Slal Ali;Vacant Land;790;240;2040000
2024-12-29;Al Khor and Al Dakhira;Al Dakhira;Vacant Land;551;190;1126000
2024-12-29;Al Khor and Al Dakhira;Al Khor;Vacant Land;497;255;1364000
2024-12-29;Al Khor and Al Dakhira;Al Khor;Vacant Land;506;255;1388000
2024-12-29;Doha;Al Sadd 39;Residence;1388;602;9000000
2024-12-29;Doha;Najma;Residential Building and  Shops;810;755;6582725
2024-12-29;Doha;The Pearl Island;Residential Unit;171;940;1740000
2024-12-29;Doha;Al Hilal;Residence;829;672;6000000
2024-12-29;Umm Slal;Izghawa 71;Vacant Land;462;201;1000000
2024-12-29;Umm Slal;Umm Slal Ali;Vacant Land;1050;168;1900000
2024-12-29;Al Khor and Al Dakhira;Al Khor;Vacant Land;483;173;900000
2024-12-29;Al Khor and Al Dakhira;Al Dakhira;Residence;3913;185;7792113
2024-12-29;Doha;Old Airport;Residence;532;611;3500000
2024-12-29;Doha;Madinat Khalifa South;Residential Building;904;822;8000000
2024-12-29;Al Rayyan;New Al Rayyan;Residence;744;537;4300000
2024-12-29;Al Daayen;Jeryan Jenaihat;Residence;1200;1355;17500000
2024-12-29;Al Wakrah;Umm Besher;Residence;982;407;4300000
2024-12-26;Umm Slal;Umm Slal Ali;Residence;585;397;2500000
2024-12-26;Doha;Old Airport;Residence;575;808;5000000
2024-12-26;Al Rayyan;Baaya;Residential commercial building;1520;2359;38600000
2024-12-26;Al Wakrah;Al Wakrah;Vacant Land;526;250;1415503
2024-12-26;Doha;Ghar Thaileb;Residential Unit;101;1154.22;1265000
2024-12-26;Al Rayyan;Al Sheehaniya;Vacant Land;584;128;803000
2024-12-26;Al Rayyan;Al Mearad;Residence;900;206;2000000
2024-12-26;Al Daayen;Al Sakhama;Vacant Land;600;275;1776102
2024-12-26;Al Wakrah;Al Wakrah;Residence;264;440;1250000
2024-12-26;Al Wakrah;Al Wakrah;Vacant Land;530;272;1550000
2024-12-26;Doha;Ghar Thaileb;Residential Unit;95;1215.91;1255000
2024-12-26;Al Wakrah;Al Wakrah;Residence;265;438;1250000
2024-12-26;Doha;The Pearl Island;Residential Unit;264;1529.94;4356000
2024-12-26;Doha;Ghar Thaileb;Residential Unit;83;1264.04;1141000
2024-12-25;Doha;Al Thumama  46;Vacant Land;450;375;1816425
2024-12-25;Al Daayen;Umm Qarn;Residence;417;579;2600000
2024-12-25;Al Wakrah;Al Wukair;Vacant Land;600;240;1550000
2024-12-25;Al Daayen;Lusail  69;Residential Unit;115;1081.95;1350820
2024-12-25;Doha;Madinat Khalifa South;Residential Building;211;1123;2550000
2024-12-25;Al Rayyan;Al Waab;Residence;1265;477;6500000
2024-12-25;Al Shamal;Aba Al Dalouf;Residence;600;294;1900000
2024-12-25;Al Daayen;Al Kheesa;Vacant Land;541;361;2100000
2024-12-25;Al Daayen;Simaisma;Vacant Land;384;278;1150000
2024-12-25;Al Daayen;Umm Qarn;Vacant Land;403;231;1000000
2024-12-25;Al Wakrah;Al Wakrah;Residence;852;218;2000000
2024-12-25;Doha;The Pearl Island;Residential Unit;59;1534.43;990000
2024-12-25;Doha;The Pearl Island;Residential Unit;139;1261.46;1900000
2024-12-24;Doha;Old Airport;Residential Building;566;875;5328000
2024-12-24;Doha;Al Mansoura;Residence;483;617;4000000
2024-12-24;Doha;Najma;Residence;212;701;1600000
2024-12-24;Al Rayyan;Al Gharrafa;Vacant Land;575;339;2100000
2024-12-24;Al Rayyan;Muaither  53;Residence;167;528;950000
2024-12-24;Al Rayyan;Baaya;Vacant Land;9117;306;30000000
2024-12-24;Al Daayen;Lusail  69;Residence;1384;1007;15000000
2024-12-24;Al Daayen;Lusail  69;Residential Unit;117;1950.96;2477580
2024-12-24;Al Daayen;Lusail  69;Residential Unit;76;1068.38;885385
2024-12-24;Al Daayen;Lusail  69;Residential Unit;79;929.84;800000
2024-12-24;Doha;The Pearl Island;Residential Unit;141;1007.17;1530000
2024-12-24;Doha;Old Al Ghanim 16;Residence;157;609;1029839
2024-12-24;Doha;Fereej Kulaib;Residential Building;782;1604;13500000
2024-12-24;Doha;Al Thumama  46;Vacant Land;828;345;3074844
2024-12-24;Doha;Al Thumama  46;Vacant Land;960;345;3565036
2024-12-24;Al Rayyan;Al Luqta;Residence;923;322;3200000
2024-12-24;Al Rayyan;Muaither  53;Vacant Land;506;337;1835000
2024-12-24;Al Daayen;Lusail  69;Residential Unit;93;1950.96;1964340
2024-12-24;Al Daayen;Lusail  69;Residential Unit;76;2043.87;1690040
2024-12-24;Al Daayen;Lusail  69;Residential Unit;87;1068.38;1011425
2024-12-24;Umm Slal;Al Kharaitiyat;Residence;400;604;2600000
2024-12-24;Al Khor and Al Dakhira;Al Khor;Residence;419;344;1550000
2024-12-24;Doha;Rawdat Al Khail;Residential Building and Shops;668;1181;8494560
2024-12-24;Al Wakrah;Al Wukair;Vacant Land;900;248;2400000
2024-12-24;Doha;The Pearl Island;Residential Unit;118;1340.51;1715040
2024-12-24;Al Daayen;Lusail  69;Residential Unit;115;1179.38;1464852
2024-12-23;Al Wakrah;Al Wukair;Vacant Land;744;230;1840900
2024-12-23;Doha;The Pearl Island;Residential Unit;125;1077.16;1450000
2024-12-23;Umm Slal;Umm Al Amad;Residence;600;449;2900000
2024-12-23;Doha;Al Thumama  46;Vacant Land;449;375;1812000
2024-12-23;Al Rayyan;Al Mearad;Residence;900;206;2000000
2024-12-23;Doha;Legtaifiya;Residential Unit;105;1127.14;1275000
2024-12-23;Doha;Najma;Residence;418;856;3850000
2024-12-23;Al Wakrah;Al Wakrah;Vacant Land;691;310;2305756
2024-12-23;Al Daayen;Lusail  69;Residential Unit;144;1071.21;1661538
2024-12-23;Doha;The Pearl Island;Residential Unit;171;1271.68;2350000
